,3,0.02,2.03,3.43,1.94,0.49,0.00,1.37,2.34,1.08,0.19,0.00,1.55,2.89,1.43,0.25,0.00,1.38,2.72,1.36,0.21,0.01,1.18,2.55,0.99,0.11,0.00,1.78,2.97,1.26,0.23,0.00,2.11,3.20,1.46,0.31
,4,0.01,2.07,3.14,1.42,0.43,0.00,1.12,2.02,0.80,0.13,0.00,1.37,2.09,1.19,0.16,0.01,1.09,2.02,1.12,0.13,0.00,1.32,1.87,0.79,0.06,0.01,1.78,2.32,1.19,0.18,0.01,1.97,2.70,1.28,0.23
,5,0.00,2.03,2.86,1.38,0.32,0.03,1.23,2.07,0.83,0.15,0.02,1.37,1.97,0.98,0.15,0.00,0.93,1.70,0.94,0.10,0.01,1.24,1.55,0.58,0.06,0.00,1.66,2.27,0.99,0.15,0.00,1.72,2.44,1.24,0.15
,6,0.00,1.69,2.92,1.27,0.21,0.00,1.20,1.84,0.92,0.22,0.00,1.21,1.90,1.05,0.16,0.00,0.98,1.52,0.80,0.17,0.01,1.16,1.18,0.74,0.13,0.00,1.48,1.94,0.85,0.17,0.01,1.50,2.08,1.32,0.20
,7,0.00,1.31,2.39,1.39,0.27,0.00,1.10,1.66,1.00,0.29,0.00,1.02,1.84,1.03,0.29,0.00,0.94,1.50,0.83,0.26,0.00,0.99,1.40,0.95,0.21,0.00,0.99,1.80,1.05,0.27,0.02,1.15,1.75,1.22,0.35
,8,0.01,1.24,2.65,1.33,0.54,0.00,1.39,2.55,1.71,0.58,0.00,1.30,2.66,1.57,0.46,0.01,1.33,2.15,1.07,0.28,0.01,1.06,1.94,1.18,0.42,0.02,1.11,2.32,1.56,0.48,0.02,1.02,1.93,1.30,0.63
,9,0.01,1.55,3.29,1.84,0.56,0.00,1.77,3.90,2.72,0.76,0.00,1.41,3.41,2.42,0.88,0.00,1.77,2.84,1.78,0.44,0.01,1.49,3.00,2.11,0.67,0.02,1.40,3.31,2.27,0.62,0.01,1.21,2.10,1.60,0.65
,10,0.01,2.10,4.12,2.91,0.63,0.01,2.57,5.64,3.69,1.00,0.00,2.18,4.87,3.30,1.06,0.00,2.30,3.76,2.56,0.58,0.00,2.21,4.50,2.81,0.82,0.00,2.07,4.09,3.02,0.76,0.00,1.74,3.30,2.50,0.67
,11,0.02,2.96,5.65,4.13,0.97,0.02,3.47,7.04,5.02,1.18,0.00,2.96,6.36,3.92,1.15,0.01,2.70,5.10,3.45,0.80,0.00,2.99,5.54,3.29,0.73,0.00,2.90,5.40,3.61,0.93,0.01,2.35,4.84,3.28,0.83
,12,0.02,3.50,7.19,4.79,1.17,0.01,4.01,8.55,5.70,1.32,0.01,3.84,7.39,4.06,0.93,0.01,3.69,6.27,4.09,0.77,0.01,3.55,6.99,3.70,0.74,0.01,3.68,6.63,3.97,1.02,0.00,2.54,5.58,3.57,0.99
,13,0.01,3.56,7.27,4.91,1.22,0.00,4.43,9.35,5.79,1.34,0.01,3.86,7.81,4.10,0.90,0.01,4.20,6.95,4.38,0.83,0.01,4.10,7.63,4.14,0.93,0.01,3.91,7.09,4.02,0.96,0.00,2.74,5.92,3.85,1.03
,14,0.00,3.83,7.20,5.20,1.23,0.21,5.15,9.46,5.67,1.31,0.01,4.05,8.13,4.53,1.01,0.02,4.49,7.70,4.26,1.05,0.00,4.89,8.12,4.45,0.95,0.01,4.36,7.52,4.24,0.96,0.00,3.23,6.46,4.04,1.00
,15,0.00,3.58,7.33,5.21,1.32,0.29,5.61,10.03,5.73,1.29,0.00,4.49,8.96,4.92,0.90,0.04,4.90,8.01,4.44,1.11,0.00,5.16,8.84,4.28,1.04,0.01,4.56,8.13,4.50,0.93,0.00,3.28,6.58,3.83,0.98
,16,0.00,3.57,7.57,4.95,1.40,0.25,5.61,10.41,5.59,1.37,0.00,4.70,9.16,5.58,0.85,0.07,4.96,8.41,4.71,1.21,0.03,5.17,9.41,4.61,1.05,0.01,4.60,8.46,4.53,0.82,0.01,3.25,6.12,3.56,1.08
,17,0.01,3.53,7.46,4.77,1.25,0.12,5.71,10.71,5.66,1.43,0.01,4.95,9.41,5.57,0.89,0.01,4.64,8.44,4.78,1.18,0.04,5.12,9.41,4.65,0.95,0.02,4.68,8.91,4.60,0.88,0.03,3.07,6.24,3.54,1.17
,18,0.00,3.15,6.65,4.58,1.31,0.01,5.65,10.70,6.06,1.52,0.00,5.06,9.55,5.25,1.00,0.02,4.34,7.97,4.77,1.07,0.02,5.01,9.11,4.98,1.04,0.02,4.12,9.05,5.05,0.90,0.00,2.71,5.78,3.29,1.06
,19,0.00,3.19,6.66,4.63,1.41,0.03,5.55,10.04,6.49,1.52,0.01,5.43,10.08,5.16,1.07,0.01,4.37,7.73,4.84,1.16,0.02,4.95,9.23,5.10,1.12,0.01,4.08,8.76,5.43,0.93,0.01,2.70,5.96,3.42,0.95
,20,0.01,3.28,6.91,4.41,1.22,0.00,5.25,9.58,6.58,1.36,0.01,5.14,10.19,5.21,1.40,0.01,4.20,8.19,5.01,1.01,0.02,4.92,9.37,4.93,1.26,0.00,3.70,8.37,5.02,1.07,0.00,3.21,5.89,3.62,0.91
,21,0.01,3.82,7.19,3.87,0.98,0.02,5.04,9.35,6.09,1.30,0.01,4.59,10.14,5.38,1.30,0.02,4.15,7.79,4.66,0.94,0.02,5.04,9.11,4.79,1.19,0.01,4.03,7.79,4.88,1.02,0.00,3.27,5.91,3.65,0.97
,22,0.02,3.94,7.32,4.05,1.05,0.00,5.29,9.52,5.56,1.22,0.01,4.91,10.36,5.24,1.19,0.01,4.50,8.45,4.73,1.02,0.03,4.98,9.28,4.97,1.04,0.00,4.55,7.72,4.93,0.86,0.00,3.68,6.17,3.99,1.12
,23,0.00,3.92,6.88,3.82,1.05,0.00,5.23,8.96,5.20,1.17,0.00,4.90,9.74,4.94,0.97,0.00,4.36,8.03,4.68,0.86,0.01,4.53,8.71,4.69,0.86,0.01,4.56,7.54,4.62,0.74,0.00,3.67,6.48,4.11,1.16
ACH,0,0.01,1.24,5.26,3.69,0.30,0.01,1.10,6.60,3.18,0.18,0.00,1.55,7.93,4.53,0.29,0.01,1.51,7.01,3.89,0.21,0.00,1.92,8.64,4.50,0.21,0.02,1.53,7.90,4.21,0.20,0.01,1.24,8.02,3.62,0.23
